,LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
8676791,-122.0844286,37.3428735,1087,YORKSHIRE DR,,LOS ALTOS,,,94024,,76f910381bf04475
8676894,-122.111292,37.3971316,53,LOS ALTOS SQ,,LOS ALTOS,,,94022,,07a34944e79b0ca7
8676924,-122.0919606,37.3467901,792,MORA DR,,LOS ALTOS,,,94024,,afe022e55d624277
8676929,-122.1256956,37.3965758,516,W PORTOLA AVE,,LOS ALTOS,,,94022,,e0ad7eeaf552390b
8676931,-122.0676602,37.3540315,1520,MEDFORD DR,,LOS ALTOS,,,94024,,a108684ec9f5d27e
8676976,-122.1104161,37.3929135,165,ALVARADO AVE,,LOS ALTOS,,,94022,,a57355d3a9ff9c03
8676987,-122.1198401,37.3880481,255,YERBA BUENA PL,,LOS ALTOS,,,94022,,ad4912e58884a309
8677006,-122.0971214,37.3643246,1039,RIVERSIDE DR,,LOS ALTOS,,,94024,,13c969f7f1fa67c7
8677025,-122.0684233,37.339408,1621,EL SERENO CT,,LOS ALTOS,,,94024,,1c90f6891416f963
8677087,-122.0753457,37.3562413,1401,MARINOVICH WAY,,LOS ALTOS,,,94024,,c5b5850e4a5ee2a8
8677088,-122.0987868,37.3717075,647,PARMA WAY,,LOS ALTOS,,,94024,,0a48dbf5cd25cf6e
8677089,-122.1132066,37.3939601,704,VERA CRUZ AVE,,LOS ALTOS,,,94022,,7dd6d620d27439e2
8677121,-122.1049692,37.3735156,384,CUESTA DR,,LOS ALTOS,,,94024,,551338e1b9cc9aec
8677126,-122.1102432,37.3970307,70,LOS ALTOS SQ,,LOS ALTOS,,,94022,,9e73dcbdc54615d1
8677137,-122.0797196,37.3593523,1305,CARVO CT,,LOS ALTOS,,,94024,,3cbb0636515d6846
8677167,-122.1157718,37.4022451,4444,EL CAMINO REAL,,LOS ALTOS,,,94022,,8c7486d0f54c2534
8677173,-122.1148431,37.3865293,26,SYLVIAN WAY,,LOS ALTOS,,,94022,,938440b5e4e8c9bd
8677179,-122.0736708,37.3378269,22805,ASPEN DR,,LOS ALTOS,,,94024,,6d96d1a3d5ad2cf7
8677254,-122.1277247,37.3964735,790,DIXON WAY,,LOS ALTOS,,,94022,,b4e139c42a7203fe
8677335,-122.0797597,37.3583162,1339,CARVO CT,,LOS ALTOS,,,94024,,82e14db75aa88b7e
8677347,-122.0991809,37.3582891,594,MAGDALENA AVE,,LOS ALTOS,,,94024,,44f80356b282bd36
8677389,-122.0833188,37.3565761,1415,OAKHURST AVE,,LOS ALTOS,,,94024,,c39599fbb9e278c2
8677395,-122.0719814,37.3396158,585,DEODARA DR,,LOS ALTOS,,,94024,,304883effbb70931
8677410,-122.0885179,37.3544594,949,DOLORES AVE,,LOS ALTOS,,,94024,,60387b53fe81a989
8677548,-122.1121919,37.3834783,120,MERRITT CT,,LOS ALTOS,,,94022,,ed5ca5c7e066450a
8677581,-122.1043101,37.383688,119,AVALON DR,,LOS ALTOS,,,94022,,f755c304520110b7
8677590,-122.1168799,37.3982441,126,PASA ROBLES AVE,,LOS ALTOS,,,94022,,8b6d58a6fffbf4af
8677596,-122.1186028,37.3802009,104,SECOND ST,,LOS ALTOS,,,94022,,b87f5eaa1a7c882f
8677615,-122.1112616,37.3896578,451,VALENCIA DR,,LOS ALTOS,,,94022,,5e4b0646269acff2
8677777,-122.0890687,37.3594814,939,ALTOS OAKS DR,,LOS ALTOS,,,94024,,95d7b1f834a9d773
8677828,-122.0639218,37.3312798,10578,AINSWORTH DR,,LOS ALTOS,,,94024,,3e4550520802053f
8677835,-122.0963572,37.3784841,699,SAN MARTIN PL,,LOS ALTOS,,,94024,,3de1ef280acf3764
8677842,-122.122106,37.3861818,365,CHAMISAL AVE,,LOS ALTOS,,,94022,,cafb6a93b77d1c38
8677882,-122.1170958,37.3657676,8,DEEP WELL LN,,LOS ALTOS,,,94022,,22bc01fd0914055c
8677903,-122.106231,37.3408078,10271,W LOYOLA DR,,LOS ALTOS,,,94024,,06e5983783692694
8677926,-122.111446,37.3892707,427,VALENCIA DR,,LOS ALTOS,,,94022,,f333c92b25693947
8677988,-122.1279354,37.3950834,576,VAN BUREN ST,,LOS ALTOS,,,94022,,0e0412b51a4a4797
8678013,-122.0886426,37.3494804,1639,CORTE VIA,,LOS ALTOS,,,94024,,b0aee89fbd96568a
8678074,-122.0965857,37.3571351,1306,ARBOR AVE,,LOS ALTOS,,,94024,,c3371c53c2b3aa66
8678078,-122.1081976,37.3898152,458,DISTEL DR,,LOS ALTOS,,,94022,,219d93f98d1edd84
8678144,-122.1156689,37.3946267,10,MAY LN,,LOS ALTOS,,,94022,,706a167cdfe5d76e
8678158,-122.0669575,37.3323435,22417,AINSWORTH DR,,LOS ALTOS,,,94024,,64a996b044d2ace3
8678218,-122.0970017,37.3635571,676,OAKWOOD CT,,LOS ALTOS,,,94024,,1e19ed09bd8fb04c
8678283,-122.11497,37.3941474,706,N SAN ANTONIO RD,,LOS ALTOS,,,94022,,0905fe49e3d17f79
8678328,-122.1204406,37.3881194,375,LOS ALTOS AVE,,LOS ALTOS,,,94022,,8568cdf9a4966c26
8678340,-122.0653446,37.3491154,1721,CHRISTINA DR,,LOS ALTOS,,,94024,,3fc559541f16d0fd
8678428,-122.1254174,37.3920198,480,PINE LN,,LOS ALTOS,,,94022,,3947efdee5788982
8678527,-122.1146134,37.3970805,25,W PORTOLA AVE,,LOS ALTOS,,,94022,,fe4c12ba2ddd586b
8678562,-122.093819,37.347133,720,LOYOLA DR,,LOS ALTOS,,,94024,,680a01eb1b53d19e
8678648,-122.1101716,37.3973805,67,LOS ALTOS SQ,,LOS ALTOS,,,94022,,4b48903efa30e27d
8678799,-122.095231,37.3616969,721,BERRY AVE,,LOS ALTOS,,,94024,,52d56d1dbd58b063
8678897,-122.0930335,37.382743,774,RAYMUNDO AVE,,LOS ALTOS,,,94024,,a012c46c06a9132c
8678912,-122.082668,37.3534727,1550,KENSINGTON CIR,,LOS ALTOS,,,94024,,aab28605626bd42c
8678940,-122.0918784,37.3482581,788,LOYOLA DR,,LOS ALTOS,,,94024,,68698c28db8c6a73
8678944,-122.11864,37.3879548,199,YERBA BUENA AVE,,LOS ALTOS,,,94022,,66de8b30f1bc83f3
8678954,-122.1204814,37.3834959,265,MT HAMILTON AVE,,LOS ALTOS,,,94022,,b1c2bc2453eb3d5b
8679094,-122.1259852,37.3910615,541,TORWOOD LN,,LOS ALTOS,,,94022,,7adb9314793b00bf
8679104,-122.0763371,37.3468035,1830,MIDDLETON AVE,,LOS ALTOS,,,94024,,ac55b83a0c917378
8679109,-122.0810007,37.347367,1815,GRANGER AVE,,LOS ALTOS,,,94024,,95960d91b2e4dd06
8679255,-122.0850564,37.3551106,1450,HOLLY AVE,,LOS ALTOS,,,94024,,25c11e0f3ca8c0d8
8679261,-122.0817034,37.3478931,1795,GRANGER AVE,,LOS ALTOS,,,94024,,337dc609ad41490f
8680621,-122.0662342,37.3308259,22371,HARTMAN DR,,LOS ALTOS,,,94024,,1eb1f204ae44a2dc
8680655,-122.1110661,37.3731023,548,GABILAN ST,,LOS ALTOS,,,94022,,67699d33cbd9fa78
8680743,-122.1165513,37.3935597,678,TOMI LEA ST,,LOS ALTOS,,,94022,,af4634238681dcda
8680750,-122.078164,37.361785,1180,GRANT RD,,LOS ALTOS,,,94024,,519c1654517e4d56
8680772,-122.1148238,37.3974182,26,DEL MONTE AVE,,LOS ALTOS,,,94022,,0428e7cd4d93a138
8680776,-122.0678584,37.3495405,1625,CLAY DR,,LOS ALTOS,,,94024,,58523f4b747c7292
8681057,-122.0952454,37.3844462,715,VISTA GRANDE AVE,,LOS ALTOS,,,94024,,e92bc684c61b2edb
8681065,-122.1037023,37.3579527,24151,SUMMERHILL AVE,B,LOS ALTOS,,,94024,,2ec64ad3a6be21af
8681079,-122.0891513,37.3546321,923,FREMONT AVE,,LOS ALTOS,,,94024,,9513f04d1e17c755
8681167,-122.1025878,37.3773828,283,SILVIA DR,,LOS ALTOS,,,94024,,dceec38e7c04cde4
8681179,-122.1151219,37.3787298,186,MAIN ST,,LOS ALTOS,,,94022,,fe6808550ead7930
8681182,-122.1159504,37.3790013,200,MAIN ST,,LOS ALTOS,,,94022,,ed30a004d9d4a1de
8681249,-122.0927524,37.3532647,1491,TOPAR AVE,,LOS ALTOS,,,94024,,dceb258dbf1092ed
8681261,-122.0854445,37.341783,999,ANDOVER WAY,,LOS ALTOS,,,94024,,507d1f0403ba2f15
8681295,-122.0933062,37.3537379,1467,TOPAR AVE,,LOS ALTOS,,,94024,,e92df9ac0da75abb
8681302,-122.074683,37.3424335,418,DEODARA DR,,LOS ALTOS,,,94024,,65061a156296adbb
8681312,-122.0756683,37.336954,5721,ARBORETUM DR,,LOS ALTOS,,,94024,,e66db01b333da66d
8681319,-122.1111528,37.3726534,576,GABILAN ST,,LOS ALTOS,,,94022,,6bd10419d634df1c
8681353,-122.1052812,37.3497591,11722,PUTTER CT,,LOS ALTOS,,,94024,,30054109aab52148
8681356,-122.0756251,37.3570918,1440,PRITCHETT WAY,,LOS ALTOS,,,94024,,e58e24caabed69b8
8681373,-122.0744689,37.3420738,430,DEODARA DR,,LOS ALTOS,,,94024,,9f3a2da0516395a3
8681429,-122.1043827,37.3934796,668,CASITA WAY,,LOS ALTOS,,,94022,,11abcc9725250e93
8681449,-122.0970205,37.3563875,705,GREENVIEW PL,,LOS ALTOS,,,94024,,d932657e65c95e90
8681462,-122.0750208,37.3424647,406,DEODARA DR,,LOS ALTOS,,,94024,,e3890eb074ee0388
8681463,-122.1000043,37.3480513,1700,WHITHAM AVE,,LOS ALTOS,,,94024,,6ee18a94a796ce72
8681478,-122.1220182,37.4005218,367,MUNDELL WAY,,LOS ALTOS,,,94022,,86f7f9a9e4dfccc5
8681555,-122.1130628,37.4002085,1005,ACACIA AVE,,LOS ALTOS,,,94022,,6501f9bf6e894e38
8681583,-122.12663,37.3956893,750,DIXON WAY,,LOS ALTOS,,,94022,,332b97a403e917ab
8681597,-122.0988853,37.3484978,1690,MILLER AVE,,LOS ALTOS,,,94024,,a6e6d8e5d51c2262
8681611,-122.0913617,37.3480673,833,MORA DR,,LOS ALTOS,,,94024,,b6b2e9dd202fd43d
8681670,-122.0936055,37.3538986,1461,TOPAR AVE,,LOS ALTOS,,,94024,,7a15a453633c7a85
8681680,-122.0861911,37.3489148,936,LUNDY LN,A,LOS ALTOS,,,94024,,55e5390fe3b729c5
8681716,-122.0756218,37.3420885,2002,DEODARA DR,,LOS ALTOS,,,94024,,80d4bf6a5be5d2cd
8681723,-122.1159189,37.3893163,84,ALMA CT,,LOS ALTOS,,,94022,,d00762f10b476bce
8681733,-122.1154786,37.3826502,75,VIEW ST,,LOS ALTOS,,,94022,,1e584cd3900dce43
8681744,-122.0845787,37.3585451,1331,HOLLY AVE,,LOS ALTOS,,,94024,,6c257fada684eae3
8681758,-122.1163994,37.3970394,107,W PORTOLA AVE,,LOS ALTOS,,,94022,,6d3dd5fd2d2c6a5b
8681761,-122.091593,37.3653859,815,COVINGTON RD,,LOS ALTOS,,,94024,,fc64bc56b96cf0cc
8681770,-122.1094026,37.3888593,411,LOS NINOS WAY,,LOS ALTOS,,,94022,,daa10672035aab38
8681779,-122.0653385,37.3393009,2087,EUGENIA WAY,,LOS ALTOS,,,94024,,dc84ae98d2a1b942
8681784,-122.1050072,37.3916169,565,CASITA WAY,,LOS ALTOS,,,94022,,ca3fd9af905140bd
8681793,-122.1163335,37.3709395,691,UNIVERSITY AVE,,LOS ALTOS,,,94022,,9626b878d825076f
8681823,-122.0991304,37.3671814,882,PARMA WAY,,LOS ALTOS,,,94024,,8fbd69d618645e09
8681835,-122.1138094,37.3933365,661,N SAN ANTONIO RD,,LOS ALTOS,,,94022,,5415766c3d4db48b
8681842,-122.0810355,37.3559999,1194,PAYNE DR,,LOS ALTOS,,,94024,,1ead0323efeb83b9
8681853,-122.0844929,37.3656936,970,EASTWOOD PL,,LOS ALTOS,,,94024,,73e97b134902a8e8
8681854,-122.0657486,37.35345,1550,TIPTOE LN,,LOS ALTOS,,,94024,,94f32878c04245b4
8681876,-122.0870052,37.3417234,940,YORKSHIRE DR,,LOS ALTOS,,,94024,,6743041ea558e4af
8681877,-122.1025797,37.3404347,10451,KENBAR RD,,LOS ALTOS,,,94022,,ea8dc5af25fd03f8
8681887,-122.1114044,37.3766549,125,MARVIN AVE,,LOS ALTOS,,,94022,,313b5cf6096b3c19
8681895,-122.122702,37.3952328,396,VAN BUREN ST,,LOS ALTOS,,,94022,,f776869419bb8f23
8681907,-122.0731948,37.3547622,1503,JULIE LN,,LOS ALTOS,,,94024,,c64669f53876bf9a
8681923,-122.1022018,37.3625989,526,OUTLOOK DR,,LOS ALTOS,,,94024,,9f32fbb4eb22abac
8681931,-122.1082561,37.3834197,257,ANGELA DR,,LOS ALTOS,,,94022,,b66e1586f8546823
8681939,-122.0847014,37.3485943,1240,MONTCLAIRE WAY,,LOS ALTOS,,,94024,,3056da83ba9e13a8
8681961,-122.1006218,37.3734981,566,CUESTA DR,,LOS ALTOS,,,94024,,3d0fcccf837d360b
8681965,-122.1134635,37.399791,952,ACACIA AVE,,LOS ALTOS,,,94022,,753c4c01b18a6600
8681966,-122.0738977,37.3534974,1552,JULIE LN,,LOS ALTOS,,,94024,,b45fc64405c0707c
8682009,-122.1173415,37.3731423,555,UNIVERSITY AVE,,LOS ALTOS,,,94022,,830ee910cb38c24c
8682025,-122.0752613,37.34506,1391,HOLT AVE,,LOS ALTOS,,,94024,,5be055471bdfc2c9
8682031,-122.1033192,37.3506869,1595,SHIRLEY AVE,,LOS ALTOS,,,94024,,8073532dc563d284
8682045,-122.0831446,37.3501453,1125,MIGUEL AVE,,LOS ALTOS,,,94024,,d8a87bce66d1ccdf
8682046,-122.0771823,37.3462565,1318,ROSSWAY CT,,LOS ALTOS,,,94024,,63edd8de59666dc9
8682082,-122.0655425,37.3572434,1380,HARWALT DR,,LOS ALTOS,,,94024,,166f7db5adcfcc42
8682088,-122.106336,37.3864951,279,ALICIA WAY,,LOS ALTOS,,,94022,,09491b35f401d186
8682099,-122.1140088,37.3718203,635,PALM AVE,,LOS ALTOS,,,94022,,6e8f57e812645211
8682114,-122.119254,37.3981674,208,PASA ROBLES AVE,,LOS ALTOS,,,94022,,2d0f54283c00b621
8682117,-122.1181851,37.3729988,546,UNIVERSITY AVE,,LOS ALTOS,,,94022,,932082e2a7686abe
8682120,-122.0781627,37.357489,1260,STANWIRTH CT,,LOS ALTOS,,,94024,,463e2d7fa70fac57
8682142,-122.1116894,37.3855536,220,VALENCIA DR,,LOS ALTOS,,,94022,,a9d11c38fafe1c10
8682147,-122.104272,37.3831969,91,AVALON DR,,LOS ALTOS,,,94022,,0704b4a828ef1c88
8682149,-122.1204804,37.3980406,854,CARMEL AVE,,LOS ALTOS,,,94022,,ceada73c01712a36
8682154,-122.0693779,37.3329374,2300,FRIARS LN,,LOS ALTOS,,,94024,,8201395a5ab22cf4
8682168,-122.0924068,37.3640069,1060,SEENA AVE,,LOS ALTOS,,,94024,,1c280113662c388c
8682183,-122.0712325,37.3367224,1551,VINEYARD DR,,LOS ALTOS,,,94024,,b79c4a7b00563d2b
8682207,-122.1191318,37.3960265,773,LINDEN AVE,,LOS ALTOS,,,94022,,073751d4dd0e54f3
8682208,-122.0972372,37.3451197,11050,EASTBROOK AVE,,LOS ALTOS,,,94024,,c4428e716918e984
8682223,-122.1130422,37.375671,49,LYELL ST,,LOS ALTOS,,,94022,,35901bfd0dbdcc40
8682237,-122.0922798,37.346588,786,MORA DR,,LOS ALTOS,,,94024,,54c08b5661fd344f
8682240,-122.086701,37.3627163,1062,EASTWOOD DR,,LOS ALTOS,,,94024,,9d46954bb298fb91
8682244,-122.0886681,37.3425881,940,ST JOSEPH AVE,,LOS ALTOS,,,94024,,9995c2f6f18da619
8682266,-122.1042448,37.351328,1591,NIBLICK AVE,,LOS ALTOS,,,94024,,d9afe8de312f2c53
8682271,-122.1207576,37.4052583,1192,LAURELES DR,,LOS ALTOS,,,94022,,b15526d9109fcec0
8682278,-122.0690553,37.3432946,1937,ALFORD AVE,,LOS ALTOS,,,94024,,5b5bebde555ca194
8682308,-122.1178765,37.3900529,484,CHERRY AVE,,LOS ALTOS,,,94022,,af442e8108bc151d
8682316,-122.1138829,37.3900448,27,SEVILLA DR,,LOS ALTOS,,,94022,,587e9a9ce70da89a
8682317,-122.0917186,37.3622363,1161,SEENA AVE,,LOS ALTOS,,,94024,,e4a07afe7e8bc220
8682333,-122.1221565,37.3970643,817,SANTA RITA AVE,,LOS ALTOS,,,94022,,56fe6e5f7f95b8fd
8682342,-122.075591,37.3558013,1400,MARINOVICH WAY,,LOS ALTOS,,,94024,,292324b2f35543a3
8682368,-122.0717681,37.3490981,1491,BEN ROE AVE,,LOS ALTOS,,,94024,,6135a9390d77a36e
8682371,-122.0658634,37.340052,2024,VICTORIA CT,,LOS ALTOS,,,94024,,0aab0e5737a5765e
8682380,-122.0990843,37.3748348,700,BENVENUE AVE,,LOS ALTOS,,,94024,,114b5e2bdcec69fd
8682391,-122.1003157,37.381221,585,CAMELLIA WAY,,LOS ALTOS,,,94024,,6dae0db38a4fc0f0
8682441,-122.1125598,37.3793117,74,HILLVIEW AVE,,LOS ALTOS,,,94022,,68a92c0ecef45f2b
8682449,-122.1089212,37.3895251,449,LOS NINOS WAY,,LOS ALTOS,,,94022,,09829dc822de32ec
8682453,-122.1095765,37.3815969,205,E EDITH AVE,,LOS ALTOS,,,94022,,0f50ac39778d71af
8684460,-122.1149088,37.3765188,343,2ND ST,,LOS ALTOS,,,94022,,60732da07cd34eb3
8684611,-122.1175009,37.3808176,38,3RD ST,201,LOS ALTOS,,,94022,,9267857663f84427
8684612,-122.1068853,37.3973047,4962,EL CAMINO REAL,108,LOS ALTOS,,,94022,,505f96d5283aa12d
8684613,-122.1161717,37.3809541,26,4TH ST,2,LOS ALTOS,,,94022,,4292bb3f3fee5a87
8684614,-122.1189553,37.3809019,226,W EDITH AVE,28,LOS ALTOS,,,94022,,1395dcd71b2bf8f5
8684616,-122.1068853,37.3973047,4962,EL CAMINO REAL,214,LOS ALTOS,,,94022,,ef49515b2da51601
8684630,-122.1180151,37.3805633,101,2ND ST,3,LOS ALTOS,,,94022,,bf5daf7859792a65
8684727,-122.1013243,37.373516,536,CUESTA DR,,LOS ALTOS,,,94024,,a39aebe24626ac93
8684738,-122.0872094,37.3560346,1458,MIRAMONTE AVE,,LOS ALTOS,,,94024,,8383628a10eb4862
8684772,-122.1151636,37.3824073,1,W EDITH AVE,B111,LOS ALTOS,,,94022,,2f856661d7044492
8684813,-122.1179312,37.4024268,1070,MERCEDES AVE,8,LOS ALTOS,,,94022,,87e4e00f946c8f54
8684826,-122.1184478,37.3798789,124,2ND ST,11,LOS ALTOS,,,94022,,c557e8b7fb101b9d
8684829,-122.1114546,37.3732398,547,LASSEN ST,,LOS ALTOS,,,94022,,65663b3796f9b6ab
8684832,-122.116972,37.3810337,73,3RD ST,17,LOS ALTOS,,,94022,,fae7615f98814b72
8684834,-122.1068853,37.3973047,4962,EL CAMINO REAL,218,LOS ALTOS,,,94022,,0130f3f14c5d54b2
8684836,-122.1173909,37.402915,4410,EL CAMINO REAL,1B,LOS ALTOS,,,94022,,a158fbd35f62379e
8684840,-122.1171598,37.402899,4410,EL CAMINO REAL,2J,LOS ALTOS,,,94022,,4b4c54c174da7fa3
8684841,-122.1176494,37.3806837,38,3RD ST,309,LOS ALTOS,,,94022,,af42bbec2c4e49bd
8684842,-122.1179899,37.4019591,1070,MERCEDES AVE,28,LOS ALTOS,,,94022,,71c114ad72c851ec
8684843,-122.1186142,37.3810467,150,W EDITH AVE,6,LOS ALTOS,,,94022,,311813790783278a
8684859,-122.1069484,37.3967133,4966,EL CAMINO REAL,112,LOS ALTOS,,,94022,,adcd777a7790cf1a
8684862,-122.118357,37.3810915,150,W EDITH AVE,14,LOS ALTOS,,,94022,,836c10fb72843da4
8684874,-122.1168128,37.3808354,73,3RD ST,25,LOS ALTOS,,,94022,,97ea66c3ae148887
8684880,-122.1068853,37.3973047,4962,EL CAMINO REAL,205,LOS ALTOS,,,94022,,65fcba10cc454df3
8684881,-122.1186142,37.3810467,150,W EDITH AVE,23,LOS ALTOS,,,94022,,08097a7ce63dc168
8684882,-122.1190572,37.3808401,226,W EDITH AVE,15,LOS ALTOS,,,94022,,80c7834a13b0c9cb
8684891,-122.1174127,37.3807227,38,3RD ST,205,LOS ALTOS,,,94022,,19e432212470e635
8684893,-122.1069484,37.3967133,4966,EL CAMINO REAL,203,LOS ALTOS,,,94022,,0d380be122e8ee6d
8684896,-122.111528,37.3740904,101,CUESTA DR,,LOS ALTOS,,,94022,,6ebb67895a014ca8
8684902,-122.1128487,37.3734075,535,TYNDALL ST,,LOS ALTOS,,,94022,,64395169114b8caf
8684904,-122.1176494,37.3806837,38,3RD ST,109,LOS ALTOS,,,94022,,7b030174fa802950
8684905,-122.1122089,37.3742211,480,LASSEN ST,5,LOS ALTOS,,,94022,,4b0d1acbca1c034c
8684908,-122.1181936,37.3811734,150,W EDITH AVE,20,LOS ALTOS,,,94022,,d8af854ae7b90dd2
8684912,-122.1069484,37.3967133,4966,EL CAMINO REAL,127,LOS ALTOS,,,94022,,eff250e0de96dfc6
8684919,-122.1185326,37.3809325,150,W EDITH AVE,7,LOS ALTOS,,,94022,,4a4e83ffe5644d85
8684920,-122.1184689,37.381013,150,W EDITH AVE,41,LOS ALTOS,,,94022,,de6a1332f839d624
8684924,-122.1191456,37.3811053,226,W EDITH AVE,2,LOS ALTOS,,,94022,,91d47c401295ff32
8684929,-122.1114868,37.374253,477,LASSEN ST,4,LOS ALTOS,,,94022,,13b87d3d9d4dd8e6
8684930,-122.1069484,37.3967133,4966,EL CAMINO REAL,120,LOS ALTOS,,,94022,,e61d6c64c11772b8
8684932,-122.1174872,37.380664,38,3RD ST,105,LOS ALTOS,,,94022,,46b712c4a475fca5
8684937,-122.1166831,37.3797714,220,STATE ST,7,LOS ALTOS,,,94022,,9cf5c35b812a7e4e
8684939,-122.1184478,37.3798789,124,2ND ST,3,LOS ALTOS,,,94022,,4789df3bead1450e
8684940,-122.1121843,37.3745181,444,LASSEN ST,2,LOS ALTOS,,,94022,,6a7d1196ffac9db6
8684941,-122.1163075,37.380867,26,4TH ST,8,LOS ALTOS,,,94022,,a3c885c4d72b4d58
8684943,-122.1179127,37.4020508,1070,MERCEDES AVE,27,LOS ALTOS,,,94022,,86bb067cd0d53fd4
8684946,-122.1161717,37.3809541,26,4TH ST,12,LOS ALTOS,,,94022,,46b9ab84f91b4bd0
8684949,-122.1161717,37.3809541,26,4TH ST,7,LOS ALTOS,,,94022,,aea76fcf29368d45
8684962,-122.1032283,37.395995,5100,EL CAMINO REAL,201,LOS ALTOS,,,94022,,482fafcd37b35bb5
8684967,-122.1034856,37.3956289,5100,EL CAMINO REAL,307,LOS ALTOS,,,94022,,32ecc651a221245e
8684986,-122.1033252,37.3958564,5100,EL CAMINO REAL,103,LOS ALTOS,,,94022,,1932373c4bbca525
8684987,-122.1068853,37.3973047,4962,EL CAMINO REAL,222,LOS ALTOS,,,94022,,e7a40d1ea7430235
8684990,-122.1189759,37.3807423,226,W EDITH AVE,36,LOS ALTOS,,,94022,,393d2c27d5de10fe
8684991,-122.1188667,37.380785,226,W EDITH AVE,37,LOS ALTOS,,,94022,,fe54a7234025d542
8684996,-122.1178459,37.3811755,150,W EDITH AVE,1,LOS ALTOS,,,94022,,1e6a654755fa2abc
8684997,-122.1034054,37.3957427,5100,EL CAMINO REAL,205,LOS ALTOS,,,94022,,70c8ef6d292c33cf
8685016,-122.0879768,37.357243,956,MANOR WAY,,LOS ALTOS,,,95022,,66712da13b0d8ae6
8685102,-122.119733,37.3745829,,,,LOS ALTOS,,,,,18ba704c6dccc3a9
8685103,-122.1132508,37.3737985,502,TYNDALL ST,,LOS ALTOS,,,94022,,798d7f6cb7332812
8685104,-122.1133456,37.3738058,68,CUESTA DR,,LOS ALTOS,,,94022,,53808753e994b274
8685115,-122.0633487,37.3308479,22181,ALDERNEY CT,,LOS ALTOS,,,94024,,06f8329f399edf47
8685468,-122.1168086,37.3796581,220,STATE ST,19,LOS ALTOS,,,94022,,368ec72688ec8b3a
8685478,-122.1168086,37.3796581,220,STATE ST,23,LOS ALTOS,,,94022,,c025fa5441dcc19c
8685556,-122.1168086,37.3796581,220,STATE ST,4,LOS ALTOS,,,94022,,71b0771b0d7a8d17
8685644,-122.1080865,37.3501299,11634,WINDING WAY,,LOS ALTOS,,,94024,,d02e4a7bae86efda
8685689,-122.1146188,37.401154,4546,EL CAMINO REAL,O,LOS ALTOS,,,94022,,e0c80eabc4f5cac1
8685697,-122.1036091,37.3762124,438,PACO DR,,LOS ALTOS,,,94024,,9cbcd28c78a6c842
8685713,-122.1166122,37.397009,115,W PORTOLA AVE,,LOS ALTOS,,,94022,,9ce464b216fc75d2
8685745,-122.1681381,37.3632098,,,,LOS ALTOS,,,,,010841e78a0b3e4c
8685791,-122.0980017,37.3491719,1690,FAIRWAY DR,,LOS ALTOS,,,94024,,c15fa6380fdd1bd7
8685849,-122.0854623,37.3489438,,,,LOS ALTOS,,,94024,,ab482304a8fe3989
8685891,-122.1150922,37.3994208,960,N SAN ANTONIO RD,203,LOS ALTOS,,,94022,,eeb9c35dd4037721
8686149,-122.1150823,37.3989946,960,N SAN ANTONIO RD,229,LOS ALTOS,,,94022,,62663d87c72f825d
8686159,-122.1154433,37.3993134,960,N SAN ANTONIO RD,126,LOS ALTOS,,,94022,,04b45e4c10d309a8
8686164,-122.1149906,37.3989944,960,N SAN ANTONIO RD,228,LOS ALTOS,,,94022,,a6835c8573376ad4
8686166,-122.1149114,37.3991016,960,N SAN ANTONIO RD,226,LOS ALTOS,,,94022,,af3a165783b73fe7
8686210,-122.1157314,37.3751033,396,FIRST ST,10,LOS ALTOS,,,94022,,ac7be970eb3bdaf9
8686211,-122.1157314,37.3751033,396,FIRST ST,16,LOS ALTOS,,,94022,,f9d57db5f2313ae1
8686212,-122.1160305,37.3751925,396,FIRST ST,11,LOS ALTOS,,,94022,,fa194ae7c4e3ad9e
8686213,-122.1158898,37.3750466,396,FIRST ST,7,LOS ALTOS,,,94022,,766a8daa94125718
8686380,-122.100354,37.3547494,,,,LOS ALTOS,,,,,ec37cb079b88c1a4
8686453,-122.1130545,37.3985167,2001,MARCELLI CIR,,LOS ALTOS,,,94022,,486edf50a626ee2d
8686454,-122.1126383,37.3989771,1004,MARCELLI CIR,,LOS ALTOS,,,94022,,edd3e9cba2274c52
8686455,-122.1124302,37.3988366,3003,MARCELLI CIR,,LOS ALTOS,,,94022,,7486748ba9e2caeb
8686456,-122.1118922,37.3987297,7006,MARCELLI CIR,,LOS ALTOS,,,94022,,f621f642b10d19ef
8686457,-122.1122226,37.3982726,8003,MARCELLI CIR,,LOS ALTOS,,,94022,,1f80fb0fa19e791f
8686458,-122.1122577,37.3982206,8002,MARCELLI CIR,,LOS ALTOS,,,94022,,49d74c969b307c45
8686532,-122.1152814,37.3779102,240,THIRD ST,302,LOS ALTOS,,,94022,,e19fbdff166cc1bb
8686556,-122.0788668,37.3421245,1217,ST MATTHEW WAY,,LOS ALTOS,,,94024,,0c912544c0b96e67
8686602,-122.0997076,37.3695441,759,ANDERSON DR,,LOS ALTOS,,,94024,,0129fcb3e8f4b35c
8686625,-122.1074688,37.3687567,289,FREMONT AVE,,LOS ALTOS,,,94024,,4dda2112053aa2f7
8686634,-122.1115232,37.371794,123,FREMONT AVE,,LOS ALTOS,,,94022,,3bbdffea4293500f
